code	name	image	n_additives	nutriscore	nova	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	omega-6-fat_100g	omega-9-fat_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	starch_100g	polyols_100g	fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
0000000001281	Tarte noix de coco		0	d		1594		22	15.5								27.3	21.9			4.4	4.6				0.1	0.0393700787401575																																										14	14							
0000000001885	Compote de poire		0	a		657		0	0								36	27			3.6	0.6				0	0																																										-2	-2							
0000000005241	Bagel		0	b		824		5	1.1								28.7	3				8.4				0.467	0.183858267716535																																										0	0							
0000000005470	BAguette bressan		3	a	4	669		2.2	0.5								25.2	0.6			1.6	9.5				0.358	0.140944881889764																																										-4	-4							
0000000005661	Pavé de saumon fumé à la ficelle		0	d		1059		17	2.6								0.5	0.5				23				2.5	0.984251968503937																																										15	15							
000000001772	Mélange fruits secs		0																																																																										
0000000020114	Naturablue original		1		4	0		0	0								0	0				0												0.08																																											
0000000030717	Organic Baby Lima Beans		0		1	1393											62.22	8.89			26.7	20				0.02794	0.011		3.33e-05																			0.089		0.006																											
0000000125512	Stylo glaçage gris		0	e		2427		38	36								58	58				3				0.5	0.196850393700787																																										29	29							
0000000274722	Blanquette de Volaille et son Riz		2	b	4	450		2.2	0.9								15.3	0.5			0.5	6.8				0.7	0.275590551181102																																					7.2					0	0							
0000000274739	Raviolini au Fromage de chèvre et Pesto		0	b		455		4.2	2.1								12.5	1.4			1.8	4.4				0.6	0.236220472440945																																										2	2							
0000000290616	Salade Cesar		3	c	4	1210		12	7							0.056	23	0			2	22				2.16	0.85		0					0														0		0																			6	6							
0000000394710	Danoises à la cannelle roulées		10		4	1520		14.4								0.0411	54.1	28.1			2.05	4.79				0.922	0.363		0.000205					0.00616														0.0548		0.00247																											
0000000491228	Entremets Crème Brulée		4	b	4	1952.4		15.3	11.2								75.5	69.8			0.1	6.8				0.5	0.196850393700787																																										2	2							
0000001071894	Flute	https://static.openfoodfacts.org/images/products/000/000/107/1894/front_en.7.400.jpg	0		1																																																																								
0000001938067	Chaussons tressés aux pommes		3	c	4	1090		10.7	2	3.33	5.33				0.667	0.00533	38.7	24.7			2	3.33				0.647	0.255		0					0.0016												0		0.0133		0.00048																			9	9							
0000005200016	lentilles vertes 	https://static.openfoodfacts.org/images/products/000/000/520/0016/front.3.400.jpg	0		1																																																																								
0000007020254	Root Beer	https://static.openfoodfacts.org/images/products/000/000/702/0254/front.16.400.jpg	3	e	4	213		0	0								14	0			0	0				1	0.393700787401575																																										12	4							
0000007730009	Biscuits sablés fourrage au cacao	https://static.openfoodfacts.org/images/products/000/000/773/0009/front.6.400.jpg	3		4																																																																								
0000007818707	A&w - Root Beer - 355ml		3	e	4	201		0	0								13.3	12.7				0				0.05	0.0196850393700787																																										16	2							
0000008237798	Quiche Lorraine		9	b	4	478		6.79	2.86						0	0.0107	7.86	0.714			0.357	5.36				0.499	0.196		1.07e-05					0.000429												0		0.0286		0.000643																			2	2							
0000008240095	Pâté au poulet		0			751		10.2								0	16.6					33.9				0.735	0.289																																																		
0000009125124	Compote de Pomme		1	b	4	1577		0.5	0.1								93	66				1.5				0.02	0.0078740157480315																																					76					1	1							
0000009336247	Bonbons acidulés Raisin Fraise		7	d	4	1674		0	0								93.3	93.3				0				0	0																																										14	14							
0000010068175	Thé noir aromatisé violette et fleurs		0	c	1	17		0.1	0.1								0.1	0.1				0.1				0.001	0.000393700787401575																																										2	0							
0000010090206	Thé de Noël aromatisé orange-cannelle	https://static.openfoodfacts.org/images/products/000/001/009/0206/front.5.400.jpg	0		4																																																																								
0000010127735	Sirops pour ganache macarons	https://static.openfoodfacts.org/images/products/000/001/012/7735/front.7.400.jpg	4		4																																																																								
0000010150917	Feutre alimentaire noir		2		4																																																																								
0000010166604	Pate d'amandes		0	d		1749		10.41	0.79								77.68	70.54				4.29				0.21	0.0826771653543307																																										15	15							
0000010166697	Pâte d'Amandes		8	d	4	1732		10.29	0.77								77.02	69.97				4.2				0.21	0.0826771653543307																																					20.1					15	15							
0000010206515	Pâte à Sucre		5	d	4	1720		6.42	3.53								87.86	81.67			0	0.03				0.1	0.0393700787401575																																										18	18							
0000010216477	Pate a sucre		0	d		1644		4.8	3.3								87.1	84.7				0				0.12	0.047244094488189																																										17	17							
0000010216491	Pâte à sucre		0	d		1644		4.8	3.3								87.1	84.7				0				0.12	0.047244094488189																																										17	17							
0000012167005	Brioches roulées avec raisins		7	b	4	536		6	1						0	0	50	19			1	7				0	0		0					0														0		0																			0	0							
0000018927207	Tripoux		0	d		1682		5.2	0.4								2.4	1.9				4.3				10	3.93700787401575																																										15	15							
0000020004552	Côtes du Rhône Villages 2014		0		3																							13																																																	
0000020043131	Sliced Plain Bagel		0	c	3	1527		1.18	0						0	0	71.76	4.71			2.4	12.94				1.19634	0.471		0					0														0.071		0.00424																			3	3							
0000020424640	Belgische Pralinen		3	e	4	2257		33.3	21.1								53.8	51.5				4.7				0.09	0.0354330708661417																																										26	26							
0000023019027	Donuts fourrage vanille		0	e		1427		17	9.9								43	14				4.3				0.89	0.350393700787402																																										19	19							
0000026061993	Clémentines		0																																																																										
0000027249635	Plain bagels		0	b		1151		1.5	0.2								55	5.1				9.4				0.61	0.240157480314961																																										1	1							
0000027533024	Luxury Christmas Pudding	https://static.openfoodfacts.org/images/products/000/002/753/3024/front_en.9.400.jpg	2	d	4	1284		7	3.6								54.2	44			4.7	3.9				0.2	0.078740157480315																																										11	11							
0000027533048	Luxury Christmas Pudding	https://static.openfoodfacts.org/images/products/000/002/753/3048/front_en.7.400.jpg	2	d	4	1284		7	3.6								54.2	44			4.7	3.9				0.199898	0.0787																																										11	11							
0000030053014	Pastille Vichy	https://static.openfoodfacts.org/images/products/000/003/005/3014/front.3.400.jpg	2	c	4	1046		0	0								95	0			0	0				0	0																																										3	3							
0000034054086	Kitkat White Wafers		0	d		920		12	8								27	19				2				0	0																																										13	13							
0000040144078	M&M's Peanut Butter		2	e	4	2360		30.5	18.8								51.6	51.6			0	0				2.23	0.878																																										36	36							
0000040608754	Pepsi, Nouveau goût !	https://static.openfoodfacts.org/images/products/000/004/060/8754/front.5.400.jpg	2	e	4	177		0	0								10.4	10.4			0	0				0.0254	0.01																																										13	2							
0000050157846	Heinz Squeeze Sauce Salade Cream		1	d	4	1226		23.8	1.8								18.5	17				1.3				1.7	0.669291338582677																																										14	14							
0000054492790	Blle Pet 50CL Coca Cola Cherry		1	e	4	180		0.1	0.0001								10.7	10.7				0				0	0																																										14	2							
0000069006562	Galette de Pommes de Terre		0	c	4	573		3.1	1.6								24	0.8			2.2	2.2				1	0.393700787401575																																										3	3							
0000069013508	Chicken Chips		1	c	4	828		7.2	1								17.6	0.5				15.3				1.8	0.708661417322835																																										4	4							
0000069028045	Lasagnes aux saumon et aux épinards		0	b	4	527		6.3	2.3								10.5	1.5				6.5				0.79	0.311023622047244																																										2	2							
0000069066153	Pomme dauphine		2	d	4	1163		17	7								24	1.6			2.7	5.9				1.5	0.590551181102362																																										13	13							
0000069068768	Babas au rhum		0	d		1130		10.5	7.4								35.1	16.5				2.1				0.1	0.0393700787401575																																										13	13							
0000069160028	Big Choco Framboise		8	e	4	1364		20.3	13								31	30.2				3.5				0.2	0.078740157480315																																										20	20							
0000069162084	Cannellonis a la bolognaise		0	c		707		11	3.8								10.3	2.6				6.8				0.6	0.236220472440945																																										3	3							
00000758	Cauliflower	https://static.openfoodfacts.org/images/products/00000758/front_en.9.400.jpg	0		1	144		0.9									2.9	2.5	0.4		1.8	3.6				0	0							0.043					6.6e-05																																						
0000084154071	Salsa de mostaza	https://static.openfoodfacts.org/images/products/000/008/415/4071/front.5.400.jpg	0		3	320		3.5									7.5					3.6																																																							
0000087111910	Marmite Original Pate A Tartiner 125G		0	c	3	1088		0.5	0.1								30	1.2			3.5	34				10.8	4.25196850393701																																										10	10							
0000087157215	Tomato Ketchup Heinz Ouverture En Bas		0	d	3	427		0.1	0.1								23.2	22.8				1.2				1.8	0.708661417322835																																										13	13							
0000087157635	Tomato Ketchup		0	d	3	427		0.1	0.1								23.2	22.8				1.2				1.8	0.708661417322835																																										13	13							
0000087177756	7Up	https://static.openfoodfacts.org/images/products/000/008/717/7756/front.5.400.jpg	3	e	4	177		0	0								10.4	10.4				0				0.1	0.0393700787401575																																										13	2							
000010	Madeleines nature		5	d	4	1900		23	2.5								55	26			1.5	6				0.68	0.267716535433071																																										13	13							
0000101209159	Véritable pâte à tartiner noisettes chocolat noir		0	e		2582		48	10								36	32				8				0.01	0.00393700787401575																																					40		17.52			23	23							
00001373	Spring Onions	https://static.openfoodfacts.org/images/products/00001373/front_en.6.400.jpg	0		1																																																																								
0000204286484	Mehrkomponeneten Protein 90 C6 Haselnuß		0		4	1533		1									2.5					85.5																																																							
0000204286644	Mehrkomponeneten Protein 90 C6 2,5kg Schoko		0			1533		1									2.5					85.5																																																							
0000209024937	The simpsons donuts		0	e		1966		28.9	16.4								46.3	18.2				5				0.6	0.236220472440945																																										21	21							
0000250632969	Mehrkomponeneten Protein 90 C6 Banane		0		4	1533		1									2.5					85.5																																																							
00002929	Flat Leaf Parsley	https://static.openfoodfacts.org/images/products/00002929/front_en.4.400.jpg	0		1																																																																								
000030	Cakes Raisins		5	d	4	1768		19	2.5								56	28			1.8	5.8				0.65	0.255905511811024																																										14	14							
