code	category
0000000001281	pies
0000000001281	sweet-pies
0000000001281	coconut-pies
0000000001885	plant-based-foods-and-beverages
0000000001885	fruits-and-vegetables-based-foods
0000000001885	desserts
0000000001885	compotes
0000000001885	plant-based-foods
0000000001885	fruits-based-foods
0000000005241	special-breads
0000000005241	plant-based-foods-and-beverages
0000000005241	cereals-and-potatoes
0000000005241	bagel-breads
0000000005241	breads
0000000005241	plant-based-foods
0000000005470	plant-based-foods-and-beverages
0000000005470	cereals-and-potatoes
0000000005470	baguettes
0000000005470	breads
0000000005470	plant-based-foods
0000000005661	salmons
0000000005661	fishes
0000000005661	seafood
0000000005661	smoked-fishes
0000000005661	smoked-salmons
000000001772	dried-products
000000001772	dried-mixed-fruits
000000001772	dried-fruits
000000001772	plant-based-foods-and-beverages
000000001772	dried-plant-based-foods
000000001772	fruits-and-vegetables-based-foods
000000001772	plant-based-foods
000000001772	fruits-based-foods
0000000020114	dietary-supplements
0000000030717	butter-beans
0000000030717	plant-based-foods-and-beverages
0000000030717	legumes-and-their-products
0000000030717	seeds
0000000030717	legumes
0000000030717	legume-seeds
0000000030717	pulses
0000000030717	plant-based-foods
0000000125512	food-decorations
0000000274722	meals
0000000274722	meals-with-meat
0000000274722	turkey-dishes
0000000274722	poultry-meals
0000000274722	meat-based-products
0000000274722	microwave-meals
0000000274739	microwave-meals
0000000274739	meals
0000000290616	plant-based-foods-and-beverages
0000000290616	fruits-and-vegetables-based-foods
0000000290616	vegetables-based-foods
0000000290616	plant-based-foods
0000000290616	leaf-vegetables
0000000394710	pastries
0000000394710	biscuits-and-cakes
0000000394710	sugary-snacks
0000000491228	dried-products-to-be-rehydrated
0000000491228	dried-products
0000000491228	dairy-desserts
0000000491228	dairies
0000000491228	desserts
0000001071894	cereals-and-potatoes
0000001071894	breads
0000001071894	plant-based-foods
0000001071894	plant-based-foods-and-beverages
0000001938067	pastries
0000001938067	biscuits-and-cakes
0000001938067	sugary-snacks
0000005200016	green-lentils
0000005200016	plant-based-foods-and-beverages
0000005200016	legumes-and-their-products
0000005200016	cereals-and-potatoes
0000005200016	seeds
0000005200016	legumes
0000005200016	legume-seeds
0000005200016	pulses
0000005200016	lentils
0000005200016	plant-based-foods
0000007020254	beverages
0000007020254	sugared-beverages
0000007020254	sodas
0000007020254	carbonated-drinks
0000007730009	biscuits
0000007730009	biscuits-and-cakes
0000007730009	sugary-snacks
0000007730009	shortbread-cookies
0000007818707	beverages
0000007818707	non-alcoholic-beverages
0000008237798	quiches
0000008237798	lorraine-quiche
0000008237798	pizzas-pies-and-quiches
0000008237798	meals
0000008240095	meats
0000008240095	chickens
0000008240095	cooked-chicken
0000008240095	poultries
0000009125124	dried-products-to-be-rehydrated
0000009125124	apple-compotes
0000009125124	dried-products
0000009125124	plant-based-foods-and-beverages
0000009125124	fruits-and-vegetables-based-foods
0000009125124	desserts
0000009125124	compotes
0000009125124	plant-based-foods
0000009125124	fruits-based-foods
0000009336247	candies
0000009336247	confectioneries
0000009336247	sugary-snacks
0000010068175	beverages
0000010068175	non-alcoholic-beverages
0000010090206	beverages
0000010090206	teas
0000010090206	black-teas
0000010090206	plant-based-beverages
0000010090206	plant-based-foods-and-beverages
0000010090206	flavored-teas
0000010090206	flavored-black-teas
0000010090206	non-alcoholic-beverages
0000010090206	non-sugared-beverages
0000010090206	plant-based-foods
0000010090206	herbal-teas
0000010090206	hot-beverages
0000010127735	syrups
0000010150917	food-decorations
0000010166604	marzipan
0000010166604	almond-paste
0000010166697	marzipan
0000010166697	almond-paste
0000010206515	pastry-helpers
0000010206515	cooking-helpers
0000010206515	confectioneries
0000010206515	sugary-snacks
0000010216477	pastry-helpers
0000010216477	cooking-helpers
0000010216491	sweeteners
0000010216491	sugars
0000012167005	pastries
0000012167005	biscuits-and-cakes
0000012167005	sugary-snacks
0000018927207	meals
0000018927207	sheep-dishes
0000018927207	meat-based-products
0000018927207	meals-with-meat
0000020004552	beverages
0000020004552	wines-from-france
0000020004552	wines
0000020004552	red-wines
0000020004552	alcoholic-beverages
0000020043131	special-breads
0000020043131	plant-based-foods-and-beverages
0000020043131	cereals-and-potatoes
0000020043131	bagel-breads
0000020043131	breads
0000020043131	plant-based-foods
0000020424640	sugary-snacks
0000020424640	confectioneries
0000020424640	chocolate-candies
0000020424640	bonbons
0000023019027	cakes
0000023019027	doughnuts
0000023019027	biscuits-and-cakes
0000023019027	sugary-snacks
0000026061993	citrus
0000026061993	plant-based-foods-and-beverages
0000026061993	clementines
0000026061993	fruits-and-vegetables-based-foods
0000026061993	fruits
0000026061993	mandarin-oranges
0000026061993	plant-based-foods
0000026061993	fruits-based-foods
0000027249635	special-breads
0000027249635	plant-based-foods-and-beverages
0000027249635	cereals-and-potatoes
0000027249635	bagel-breads
0000027249635	breads
0000027249635	plant-based-foods
0000027533024	christmas-puddings
0000027533024	desserts
0000027533024	puddings
0000027533048	sugary-snacks
0000027533048	cakes
0000027533048	christmas-puddings
0000027533048	biscuits-and-cakes
0000027533048	desserts
0000027533048	puddings
0000030053014	candies
0000030053014	confectioneries
0000030053014	sugary-snacks
0000034054086	chocolate-bars
0000034054086	confectioneries
0000034054086	chocolate-candies
0000034054086	sugary-snacks
0000034054086	bars
0000034054086	chocolate-biscuity-bars
0000040144078	chocolate-covered-peanuts
0000040144078	confectioneries
0000040144078	sugary-snacks
0000040144078	chocolate-candies
0000040144078	bonbons
0000040608754	beverages
0000040608754	sugared-beverages
0000040608754	colas
0000040608754	sodas
0000040608754	carbonated-drinks
0000050157846	sauces
0000050157846	groceries
0000054492790	beverages
0000054492790	sugared-beverages
0000069006562	meals
0000069006562	frozen-foods
0000069006562	frozen-ready-made-meals
0000069013508	meals
0000069013508	breaded-products
0000069013508	frozen-foods
0000069013508	meats
0000069013508	chickens
0000069013508	cooked-chicken
0000069013508	frozen-ready-made-meals
0000069013508	poultries
0000069013508	chicken-nuggets
0000069028045	meals
