code	country
0000000001281	france
0000000001885	france
0000000005241	france
0000000005470	france
0000000005661	france
000000001772	france
0000000020114	france
0000000030717	united-states
0000000125512	france
0000000274722	france
0000000274739	france
0000000290616	canada
0000000394710	canada
0000000491228	france
0000001071894	united-kingdom
0000001938067	canada
0000005200016	france
0000007020254	france
0000007020254	united-states
0000007730009	france
0000007818707	france
0000008237798	canada
0000008240095	canada
0000009125124	france
0000009336247	france
0000010068175	france
0000010090206	france
0000010127735	france
0000010150917	france
0000010166604	france
0000010166697	france
0000010206515	france
0000010216477	france
0000010216491	france
0000012167005	canada
0000018927207	france
0000020004552	france
0000020043131	united-states
0000020424640	germany
0000023019027	france
0000026061993	france
0000027249635	france
0000027533024	united-kingdom
0000027533048	united-kingdom
0000030053014	france
0000034054086	france
0000040144078	france
0000040608754	france
0000050157846	france
0000054492790	france
0000069006562	france
0000069013508	france
0000069028045	france
0000069066153	france
0000069068768	france
0000069160028	france
0000069162084	france
00000758	united-kingdom
0000084154071	spain
0000087111910	france
0000087157215	france
0000087157635	france
0000087177756	france
000010	france
0000101209159	france
00001373	united-kingdom
0000204286484	germany
0000204286644	germany
0000209024937	france
0000250632969	germany
00002929	united-kingdom
000030	france
000031	france
00003100	france
000039365	france
000039681	france
0000460938714	germany
0000470322800	germany
000050	france
0000501050603	germany
000051	france
0000526938306	germany
00005487	united-states
0000601015748	france
0000628006569	france
0000790310013	germany
0000790310020	germany
0000790310044	united-states
00008433	united-kingdom
00008761	united-kingdom
0000886100252	france
0001000004005	france
0001006530676	mexico
000104	france
00011021096	france
00011201096	france
0001123550	france
00011251085	france
0001126220	france
00011281070	france
00011281076	france
00011501	france
00011501	united-kingdom
00011679	france
00011686	france
00011693	france
00011693	united-kingdom
00011709	france
00011709	united-kingdom
00011723	france
00011730	france
00011730	united-kingdom
00011747	france
00011747	united-kingdom
00011754	belgium
00011754	france
00011754	united-kingdom
00011754	netherlands
00011778	belgium
00011778	france
00011778	united-kingdom
00011778	netherlands
00011815	france
00011815	united-kingdom
00011839	france
00012444	france
00013029	france
00013628	france
00013628	united-kingdom
00014816	united-states
00015349	united-states
00015356	france
00016063	united-states
00016940	france
00018097	france
00018166	france
00018166	united-kingdom
00018999	france
00019101	france
00019101	united-kingdom
00019170	united-kingdom
0002000003012	france
0002000003289	france
0002000003555	france
0002000008390	france
0002000008536	france
00020275	france
0002042861915	germany
000227	france
00023092	france
00024280	france
00024280	united-kingdom
00024655	france
00024679	france
00024679	united-kingdom
00025157	united-states
00025751	france
00025751	united-kingdom
00025942	france
00025942	united-kingdom
00027083	france
00027137	france
00027137	united-kingdom
00028097	france
00028097	united-kingdom
00028202	france
00028202	united-kingdom
00028264	france
00028271	france
00028271	united-kingdom
00028653	france
00028653	united-kingdom
00029568	france
00029568	united-kingdom
0002983542515	germany
0003004032145	france
00030045	france
00030045	united-kingdom
00030113	france
00030113	united-kingdom
00030182	france
00030182	united-kingdom
00030908	france
00030908	united-kingdom
00031059	france
00031059	united-kingdom
00031394	france
00031394	united-kingdom
00031858	france
00032582	france
00032582	united-kingdom
00033046	united-kingdom
00033671	france
00035460	france
